iter	RMSE
0	4.817945735
1	4.69908661
2	4.58525002
3	4.46404595
4	4.346680839
5	4.242242502
6	4.139398644
7	4.033612518
8	3.936764475
9	3.841039827
10	3.747806322
11	3.669545655
12	3.574873274
13	3.493853682
14	3.406644903
15	3.326608325
16	3.243646719
17	3.16281012
18	3.08776373
19	3.018784247
20	2.943246345
21	2.878415827
22	2.812117911
23	2.74395016
24	2.679199255
25	2.619139066
26	2.560126211
27	2.500234586
28	2.455897587
29	2.399159184
30	2.344446152
31	2.298015874
32	2.248951062
33	2.200762284
34	2.156196548
35	2.112467018
36	2.068565378
37	2.02474926
38	1.985192465
39	1.94687737
40	1.905673925
41	1.86989841
42	1.833410473
43	1.796584724
44	1.760912358
45	1.727570375
46	1.693247051
47	1.662558042
48	1.636333658
49	1.608461537
50	1.578524898
51	1.548434942
52	1.523544485
53	1.498378787
54	1.472418839
55	1.450370472
56	1.428170435
57	1.406829457
58	1.384422047
59	1.366413925
60	1.345379944
61	1.323935837
62	1.30221143
63	1.282282263
64	1.26297459
65	1.244691849
66	1.227083356
67	1.210087932
68	1.192195189
69	1.175327627
70	1.159060994
71	1.144883415
72	1.130241471
73	1.114548729
74	1.100321574
75	1.087588148
76	1.073565357
77	1.061845281
78	1.04979139
79	1.037347456
80	1.026072391
81	1.013549949
82	1.002457793
83	0.9921541875
84	0.9802440312
85	0.9734564278
86	0.9659291763
87	0.957290093
88	0.9480044923
89	0.9387767389
90	0.9293906303
91	0.9208194214
92	0.9129886996
93	0.9069552104
94	0.9004539316
95	0.8936258557
96	0.8867567313
97	0.879385008
98	0.8720438716
99	0.8649918096
100	0.8587337785
101	0.8523871518
102	0.8461071002
103	0.8405962795
104	0.8340733227
105	0.8292832812
106	0.8250458709
107	0.8197529224
108	0.815034832
109	0.8109815446
110	0.8067210724
111	0.8027001021
112	0.7996188827
113	0.7954792302
114	0.791143468
115	0.7873235376
116	0.7832371209
117	0.7808796009
118	0.7768065889
119	0.7733702896
120	0.7698727812
121	0.7670245382
122	0.763578028
123	0.7598901294
124	0.7559663428
125	0.7526616846
126	0.7498103612
127	0.7474030101
128	0.7444598975
129	0.7423045203
130	0.7394965111
131	0.737442765
132	0.7348353875
133	0.7324197367
134	0.7301661652
135	0.7279992204
136	0.7261188096
137	0.7242342511
138	0.7220592512
139	0.7206206875
140	0.7189073613
141	0.7171566788
142	0.714866874
143	0.713861952
144	0.7118921673
145	0.7097073109
146	0.7076695109
147	0.705936701
148	0.7037450861
149	0.7031471961
150	0.7016515571
151	0.7002028521
152	0.6987273493
153	0.6974548932
154	0.6967471054
155	0.6949426675
156	0.6931608318
157	0.6915430591
158	0.6900007622
159	0.6892890564
160	0.687633401
161	0.686961919
162	0.6855356491
163	0.6839989316
164	0.683337542
165	0.6824116061
166	0.6815579634
167	0.6809791345
168	0.6795102109
169	0.6781420893
170	0.6772530359
171	0.6763316049
172	0.6753784538
173	0.6740908802
174	0.6730451376
175	0.6718380936
176	0.6709153913
177	0.6697155988
178	0.6686218028
179	0.667339444
180	0.6660474076
181	0.6652475526
182	0.6635693671
183	0.6630929519
184	0.6626245528
185	0.6621464759
186	0.6608836935
187	0.6601295452
188	0.6592554569
189	0.6583392405
190	0.6568088759
191	0.6556326182
192	0.6537248063
193	0.6529425611
194	0.6522517856
195	0.6513259014
196	0.650698657
197	0.6498487258
198	0.649439865
199	0.6490451185
200	0.6486349552
201	0.647921815
202	0.6473505526
203	0.6460412392
204	0.6448511789
205	0.6442035356
206	0.6435355554
207	0.6425784096
208	0.6419770306
209	0.6413707225
210	0.6410771489
211	0.6402637706
212	0.6386721679
213	0.6382929284
214	0.6373291686
215	0.6366726856
216	0.6361467771
217	0.6351184748
218	0.6345388326
219	0.6339047125
220	0.6334686949
221	0.6331354943
222	0.6326010463
223	0.6322356726
224	0.6308019694
225	0.6304605852
