POSTE;DATE;RR1;DRR1;HNEIGEF;NEIGETOT;T;TD;TN;HTN;TX;HTX;DG;T10;T20;T50;T100;TNSOL;TN50;TCHAUSSEE;TW;PSTAT;PMER;GEOP;PMERMIN;FF;DD;FXI;DXI;HXI;FXY;DXY;HXY;FF2;DD2;FXI2;DXI2;HXI2;FXI3S;DXI3S;HXI3S;U;UN;HUN;UX;HUX;UABS;DHUMI40;DHUMI80;DHUMEC;TSV;ENTH;INS;GLO;DIR;DIF;GLO2;UV;INFRAR;UV_INDICE;N;NBAS;CL;CM;CH;N1;C1;B1;N2;C2;B2;N3;B3;C3;N4;C4;B4;WW;VV;DVV200;W1;W2;SOL;SOLNG;TSNEIGE;TUBENEIGE;ESNEIGE;HNEIGEFI3;HNEIGEFI1;TMER;VVMER;ETATMER;DIRHOULE;TLAGON;UV2;INS2;INFRAR2;DIR2;DIF2
38185012;2021020100;0,0;;;0;7,6;5,9;7,6;2355;8,4;2312;0;;;;;6,5;6,7;6,6;;;;;;1,7;170;5,7;170;2301;2,5;160;2301;;;;;;4,8;;2302;89;80;2312;90;2355;7,2;0;60;;9,3;22,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38185012;2021020101;0,4;;;0;7,9;6,2;7,6;1;8,2;38;0;;;;;6,6;6,8;6,6;;;;;;1,8;150;5,1;140;31;2,8;130;32;;;;;;4,7;;32;89;84;37;89;1;7,3;0;60;;9,5;22,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38185012;2021020102;0,2;;;0;7,2;6,1;7,2;147;7,8;101;0;;;;;6,2;6,5;6,5;;;;;;1,3;160;4,0;140;114;2,3;160;122;;;;;;3,5;;114;93;89;101;93;146;7,3;0;60;;9,4;22,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38185012;2021020103;0,2;;;0;7,0;6,2;6,9;237;7,2;201;0;;;;;6,1;6,4;6,4;;;;;;2,5;170;4,5;160;259;2,5;170;300;;;;;;4,2;;259;95;93;201;95;231;7,3;0;60;;9,5;21,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38185012;2021020104;1,6;;;0;6,8;6,2;6,8;357;7,0;301;0;;;;;6,2;6,4;6,4;;;;;;0,7;180;3,9;180;301;2,7;170;304;;;;;;3,7;;310;96;95;301;96;354;7,4;0;60;;9,5;21,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38185012;2021020105;1,6;;;0;6,8;6,4;6,8;401;6,8;401;0;;;;;6,2;6,4;6,4;;;;;;1,4;150;2,5;160;442;1,5;170;442;;;;;;2,4;;442;97;96;401;97;428;7,4;0;60;;9,6;21,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38185012;2021020106;1,8;;;0;6,9;6,4;6,8;501;6,9;529;0;;;;;6,4;6,5;6,4;;;;;;1,2;170;2,7;170;505;1,6;170;509;;;;;;2,5;;521;97;97;501;97;501;7,4;0;60;;9,6;22,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38185012;2021020107;1,4;;;0;7,1;6,7;6,8;604;7,2;634;0;;;;;6,4;6,5;6,4;;;;;;1,3;160;3,0;120;641;1,7;120;641;;;;;;2,7;;648;97;97;601;98;613;7,6;0;60;;9,8;22,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38185012;2021020108;1,8;;;0;7,2;6,8;7,0;709;7,2;759;0;;;;;6,6;6,7;6,5;;;;;;1,2;160;2,7;170;751;1,5;170;724;;;;;;2,5;;751;98;97;701;98;728;7,7;0;60;;9,9;22,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38185012;2021020109;0,4;;;0;7,7;6,8;7,2;801;7,7;848;0;;;;;7,3;7,2;6,7;;;;;;2,0;100;3,9;110;848;2,3;110;852;;;;;;3,7;;848;94;93;848;98;801;7,6;0;60;;9,9;23,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
